sep=,
Subject,Task,ST,STlanguage,TTlanguage,MicroUnitId,LinearRep,Pause,PauseType,Start,End,DurationM,DurationT,FixCountS,FixDurationS,MeanDurationS,FixCountT,FixDurationT,MeanDurationT,FixCountST,FixDurationST,MeanDurationST,FixCountSPause,FixDurationSPause,MeanDurationSPause,FixCountTPause,FixDurationTPause,MeanDurationTPause,FixCountSTPause,FixDurationSTPause,MeanDurationSTPause,Visits,VisitsPause,Saccade,SacaddeAngle,SaccadeSum,SaccadeMean,SaccadePause,SaccadeAnglePause,SaccadeSumPause,SaccadeMeanPause,ins,del
P10_T2,translating,Osbrasileiros,pt,zh,78,,3931,null,138185,145501,7316,0,0,0,0.0,1,13898,13898.0,1,13898,13898.0,0,0,0.0,1,13898,13898.0,1,13898,13898.0,0,null,825.2084585121507,null,825.2084585121507,6.709011857822364,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,79,石油,3931,null,145502,152067,6565,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,1,0
P10_T2,translating,Osbrasileiros,pt,zh,80,,12932,null,152068,152396,328,0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,81,公司,12932,null,152397,152662,265,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,1,0
P10_T2,translating,Osbrasileiros,pt,zh,82,的主席是世界,6895,null,152663,173548,20885,0,22,3239,147.22727272727272,23,11367,494.2173913043478,45,14606,324.5777777777778,22,3239,147.22727272727272,23,11367,494.2173913043478,45,14606,324.5777777777778,4,null,826.6153881945339+795.9729894914776+753.9084825096478+746.0247985154381+723.2731157730115+700.7859873028284+731.4984620626349+801.8042155040094+760.7640895836238+725.862934719772+759.8131349220017+766.400026096033+820.5961247775912+782.588653124999+608.506368085002+543.8014343489726+648.5345017807457+750.254623444601+685.8935777509511+578.0813091598793+678.2130933563581+765.5612320383001+994.6275684898343,null,16949.382111032246,116.0916582947414,null,null,null,null,4,0
P10_T2,translating,Osbrasileiros,pt,zh,83,,15257,null,173549,177013,3464,0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,84,1,15257,null,177014,177232,218,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,1,0
P10_T2,translating,Osbrasileiros,pt,zh,85,00为,5584,null,177233,180506,3273,0,0,0,0.0,5,1257,251.4,5,1257,251.4,0,0,0.0,5,1257,251.4,5,1257,251.4,1,null,967.8868735549626+760.3223000806961+778.725240376861,null,2506.93441401252,16.82506318129208,null,null,null,null,3,0
P10_T2,translating,Osbrasileiros,pt,zh,86,,2871,null,180507,180725,218,0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,87,,2871,null,180726,181007,281,0,0,0,0.0,1,1266,1266.0,1,1266,1266.0,0,0,0.0,1,1266,1266.0,1,1266,1266.0,0,null,652.3840893216204,null,652.3840893216204,4.349227262144137,null,null,null,null,0,0
